,stdWeights,<BH>,var(BH),sigma_star,balance,<A>,<var(A)>,var(<A>)
0,0.001,0.0,0.0,0.01,-1.0,0.0,0.0,0.0
1,0.0012,0.0,0.0,0.0119999999999999,-1.0,0.0,0.0,0.0
2,0.0013,0.0,0.0,0.013,-1.0,0.0,0.0,0.0
3,0.0015,0.0,0.0,0.015,-1.0,0.0,0.0,0.0
4,0.0018,0.0,0.0,0.018,-1.0,0.0,0.0,0.0
5,0.0021,0.0,0.0,0.0209999999999999,-1.0,0.0,0.0,0.0
6,0.0024,0.0,0.0,0.0239999999999999,-1.0,0.0,0.0,0.0
7,0.0028,0.0,0.0,0.0279999999999999,-1.0,0.0,0.0,0.0
8,0.0032,0.0,0.0,0.032,-1.0,0.0,0.0,0.0
9,0.0037,0.0,0.0,0.037,-1.0,0.0,0.0,0.0
10,0.0043,0.0,0.0,0.043,-1.0,0.0,0.0,0.0
11,0.005,0.0,0.0,0.0499999999999999,-1.0,0.0,0.0,0.0
12,0.0057,0.0,0.0,0.057,-1.0,0.0,0.0,0.0
13,0.0066,0.0,0.0,0.0659999999999999,-1.0,0.0,0.0,0.0
14,0.0077,0.0,0.0,0.077,-1.0,0.0,0.0,0.0
15,0.0089,0.0,0.0,0.089,-1.0,0.0,0.0,0.0
16,0.0103,0.0,0.0,0.103,-1.0,0.0,0.0,0.0
17,0.0119,0.0,0.0,0.119,-1.0,0.0,0.0,0.0
18,0.0138,0.0,0.0,0.1379999999999999,-0.999999999999572,0.0,0.0,0.0
19,0.0159,0.0,0.0,0.159,-0.999999999681116,0.0,0.0,0.0
20,0.0184,0.0,0.0,0.184,-0.9999999451367212,0.0,0.0,0.0
21,0.0213,0.0,0.0,0.213,-0.999997331788812,0.0,0.0,0.0
22,0.0247,0.0,0.0,0.247,-0.9999484713385688,0.0,0.0,0.0
23,0.0286,0.0,0.0,0.286,-0.9995286016839464,0.0,0.0,0.0
24,0.033,0.0,0.0,0.33,-0.9975569151728396,0.0,0.0,0.0
25,0.0382,0.0,0.0,0.3819999999999999,-0.991150161352996,1.0000000000000004e-05,0.0,9.900000000000004e-09
26,0.0442,0.0,0.0,0.442,-0.976329980327162,2.0000000000000005e-05,0.0,1.9600000000000017e-08
27,0.0512,0.0,0.0,0.512,-0.9491952147077408,4.000000000000001e-05,0.0,3.8400000000000026e-08
28,0.0592,0.0,0.0,0.592,-0.9088168199188752,8.000000000000002e-05,0.0,9.360000000000007e-08
29,0.0685,1.1710463870610238e-06,1.3576361442421902e-10,0.685,-0.855669800175008,0.000114995004995,2.49999750499251e-06,1.2926116630622134e-07
30,0.0792,1.1710463870610238e-06,1.3576361442421902e-10,0.792,-0.7932764749651616,0.000104995004995,2.49999750499251e-06,1.514510763961314e-07
31,0.0916,0.008886436572172883,0.007804603689562104,0.916,-0.7250363588131385,0.0002754845154845,1.6470542444568416e-05,8.020433336892876e-07
32,0.106,0.027643674854798763,0.024705793881479886,1.0599999999999998,-0.654521727371446,0.0007292107892107,6.317528625220932e-05,3.8086527622227934e-06
